Ring,Date,Trap,Twig ,Bark ,Seed ,Leaf ,Scat ,Insect,
1,2014-01-14,R1T1,1.1585,1.7214,0.2945,18.7387,0.0418,0.0406,
1,2014-01-14,R1T2,0.5420,1.0618,0.0032,14.6157,0.0166,0.0023,
1,2014-01-14,R1T3,4.0101,1.1694,0.0769,14.1147,0.0038,0.0108,
1,2014-01-14,R1T4,0.9971,1.7688,0.2942,17.5219,0.0352,0.0282,
1,2014-01-14,R1T5,1.4131,1.7509,0.0583,18.1776,0.0663,0.0010,
1,2014-01-14,R1T6,0.1712,1.4538,0.0000,19.3120,0.0745,0.0127,
1,2014-01-14,R1T7,0.7659,0.7199,0.2019,14.5387,0.0579,0.0070,
1,2014-01-14,R1T8,0.7396,4.4297,0.0000,17.3843,0.1645,0.0116,
1,2014-01-14,R1TA,0.9033,1.0488,0.2156,9.0948,0.4884,0.1044,
2,2014-01-14,R2T1,0.9686,1.5188,0.0128,17.9655,0.0838,0.0024,
2,2014-01-14,R2T2,0.9541,1.9387,0.3336,18.4665,0.0256,0.0310,
2,2014-01-14,R2T3,1.2387,2.9243,0.4780,19.2678,0.1321,0.0000,
2,2014-01-14,R2T4,1.4186,2.3322,0.0836,17.5182,0.0692,0.0004,
2,2014-01-14,R2T5,2.0869,2.3885,0.7675,19.3824,0.0535,0.1617,
2,2014-01-14,R2T6,0.6248,1.9838,0.1025,15.8290,0.0424,0.0028,
2,2014-01-14,R2T7,0.4920,2.0917,0.3828,16.1304,0.0392,0.0025,
2,2014-01-14,R2T8,2.2201,2.8104,0.5426,20.0483,0.0255,0.0000,
2,2014-01-14,R2TA,1.2177,1.2404,0.1926,8.4058,0.1917,0.1329,
3,2014-01-14,R3T1,1.5145,2.1435,0.3691,21.2868,0.0807,0.0088,
3,2014-01-14,R3T2,0.1781,6.8038,0.0000,22.7297,0.0252,0.0084,
3,2014-01-14,R3T3,0.9386,2.9048,0.0000,19.2250,0.0047,0.0122,
3,2014-01-14,R3T4,0.6311,6.5546,0.0601,16.0400,0.0040,0.0195,
3,2014-01-14,R3T5,1.6516,7.0063,0.0005,23.2286,0.0420,0.0073,
3,2014-01-14,R3T6,0.3133,2.6649,0.0000,19.4074,0.0080,0.0109,
3,2014-01-14,R3T7,5.9565,14.1262,0.1488,20.7360,0.1180,0.0591,
3,2014-01-14,R3T8,2.2970,10.7043,0.0000,15.8916,0.0609,0.0165,
3,2014-01-14,R3TA,0.694,2.7918,0.3039,6.0618,0.0512,0.3467,
4,2014-01-14,R4T1,0.7443,17.8568,0.0000,14.0394,0.1046,0.0103,
4,2014-01-14,R4T2,1.7442,5.3711,0.0000,16.6466,0.1100,0.0039,
4,2014-01-14,R4T3,1.0672,5.3291,0.0000,15.9571,0.0284,0.0216,
4,2014-01-14,R4T4,1.8635,13.7915,0.1175,17.8453,0.0693,0.0161,
4,2014-01-14,R4T5,5.2719,10.7060,0.5155,13.4945,0.0660,0.0312,
4,2014-01-14,R4T6,2.5580,13.2655,0.2537,12.2463,0.3195,0.0000,
4,2014-01-14,R4T7,1.1641,7.3800,0.0000,17.6466,0.1099,0.0039,
4,2014-01-14,R4T8,6.5703,5.8213,0.0116,11.0935,0.1237,0.0081,
4,2014-01-14,R4TA,,,,,,,
5,2014-01-14,R5T1,2.9760,7.4483,0.5706,25.1710,0.0438,0.0919,
5,2014-01-14,R5T2,0.8360,2.0556,0.8165,22.6328,0.0301,0.1003,
5,2014-01-14,R5T3,1.0966,5.7553,0.4019,17.6824,0.1550,0.0247,
5,2014-01-14,R5T4,1.4964,5.2948,0.2710,18.6184,0.0640,0.0120,
5,2014-01-14,R5T5,1.7568,2.1091,0.1303,28.2188,0.3002,0.0540,
5,2014-01-14,R5T6,2.0693,5.8752,0.2395,25.9394,0.0382,0.0181,
5,2014-01-14,R5T7,1.9782,10.0175,0.1290,21.5983,0.0775,0.0078,
5,2014-01-14,R5T8,4.0563,12.1922,1.0192,27.4987,0.3321,0.0601,
5,2014-01-14,R5TA,,,,,,,
6,2014-01-14,R6T1,3.9806,3.4929,1.1303,29.0621,0.0756,0.0528,
6,2014-01-14,R6T2,1.4156,1.2414,0.3182,17.9078,0.0496,0.0796,
6,2014-01-14,R6T3,1.0405,2.9785,0.3270,19.1540,0.1230,0.0040,
6,2014-01-14,R6T4,2.8235,16.2009,0.4527,21.7330,0.0791,0.0134,
6,2014-01-14,R6T5,1.3332,6.6026,0.4673,23.8195,0.0335,0.0045,
6,2014-01-14,R6T6,1.4577,3.7487,0.4634,22.1483,0.0850,0.0339,
6,2014-01-14,R6T7,0.8412,4.9686,0.1052,23.7429,0.5503,0.0078,
6,2014-01-14,R6T8,2.4871,4.1462,0.0189,17.3768,0.0219,0.0188,
6,2014-01-14,R6TA,,,,,,,
1,2014-02-26,R1T1,0.7235,3.6030,0.0000,6.3567,0.0541,0.0681,
1,2014-02-26,R1T2,1.1608,0.8294,0.0283,4.0258,0.1173,0.0293,
1,2014-02-26,R1T3,1.9572,0.7849,0.1054,6.8364,0.0792,0.0402,
1,2014-02-26,R1T4,1.0144,4.7873,0.0000,3.3664,0.0195,0.0448,
1,2014-02-26,R1T5,3.0216,2.2920,0.0676,5.8277,0.0434,0.0140,
1,2014-02-26,R1T6,1.3125,2.2306,0.2774,5.7258,0.0353,0.0287,
1,2014-02-26,R1T7,14.2920,0.5624,0.0795,5.3872,0.0927,0.0445,
1,2014-02-26,R1T8,0.0896,0.1153,0.0007,4.9765,0.0962,0.0284,
1,2014-02-26,R1TA,0.5677,0.335,0.1022,3.9716,0.1247,0.023,
2,2014-02-26,R2T1,0.9547,4.5369,0.0008,9.2147,0.1083,0.0517,
2,2014-02-26,R2T2,1.5570,0.9950,0.0085,11.8712,0.0545,0.0183,
2,2014-02-26,R2T3,2.8780,13.4223,0.8412,11.8435,0.1422,0.0406,
2,2014-02-26,R2T4,0.9476,3.3822,0.0294,13.6913,0.0347,0.0039,
2,2014-02-26,R2T5,2.4006,8.4078,0.4648,11.2810,0.5370,0.0122,
2,2014-02-26,R2T6,1.3770,0.3534,0.1096,9.2717,0.0726,0.0564,
2,2014-02-26,R2T7,2.9043,0.2432,0.2807,10.2377,0.1330,0.0279,
2,2014-02-26,R2T8,21.1704,1.2078,0.7587,9.0761,0.1161,0.0114,
2,2014-02-26,R2TA,1.0012,0.4117,0.1926,5.2126,0.0726,0.0705,
3,2014-02-26,R3T1,3.5046,1.6336,0.3551,10.6705,0.0506,0.0319,
