ring,abundance,species,co2,date,abundance_m2,abundance_30days
1,0.25,Glycaspis,elevated,Dec-14,1.26326425,1.403626944
1,2,Glycaspis,elevated,Sep-14,10.106114,10.45460069
1,1.125,Glycaspis,elevated,Jul-14,5.684689125,8.120984464
1,2.25,Glycaspis,elevated,Jun-14,11.36937825,9.745181357
1,290,Glycaspis,elevated,Mar-14,1465.38653,2747.599744
1,2.875,Glycaspis,elevated,Dec-13,14.52753888,15.02848849
1,12.25,Glycaspis,elevated,Sep-13,61.89994825,66.32137313
1,104.875,Glycaspis,elevated,Jun-13,529.9393529,496.8181433
1,0.625,Glycaspis,elevated,Mar-13,3.158160625,4.30658267
1,11,Glycaspis,elevated,Dec-12,55.583627,59.55388607
1,6.625,Cardiospina,elevated,Dec-14,33.47650263,37.19611403
1,1.75,Cardiospina,elevated,Sep-14,8.84284975,9.147775603
1,1,Cardiospina,elevated,Jul-14,5.053057,7.218652857
1,1.125,Cardiospina,elevated,Jun-14,5.684689125,4.872590679
1,0,Cardiospina,elevated,Mar-14,0,0
1,0.75,Cardiospina,elevated,Dec-13,3.78979275,3.920475259
1,0.375,Cardiospina,elevated,Sep-13,1.894896375,2.030246116
1,0.75,Cardiospina,elevated,Jun-13,3.78979275,3.552930703
1,0,Cardiospina,elevated,Mar-13,0,0
1,0.25,Cardiospina,elevated,Dec-12,1.26326425,1.353497411
1,0.375,Spondyliaspis,elevated,Dec-14,1.894896375,2.105440417
1,5,Spondyliaspis,elevated,Sep-14,25.265285,26.13650172
1,3.75,Spondyliaspis,elevated,Jul-14,18.94896375,27.06994821
1,6.625,Spondyliaspis,elevated,Jun-14,33.47650263,28.69414511
1,0.25,Spondyliaspis,elevated,Mar-14,1.26326425,2.368620469
1,0.625,Spondyliaspis,elevated,Dec-13,3.158160625,3.267062716
1,3.5,Spondyliaspis,elevated,Sep-13,17.6856995,18.94896375
1,5.375,Spondyliaspis,elevated,Jun-13,27.16018138,25.46267004
1,0,Spondyliaspis,elevated,Mar-13,0,0
1,0,Spondyliaspis,elevated,Dec-12,0,0
2,0.125,Glycaspis,ambient,Dec-14,0.631632125,0.701813472
2,1.5,Glycaspis,ambient,Sep-14,7.5795855,7.840950517
2,4.125,Glycaspis,ambient,Jul-14,20.84386013,29.77694304
2,4.125,Glycaspis,ambient,Jun-14,20.84386013,17.86616582
2,756.375,Glycaspis,ambient,Mar-14,3822.005988,7166.261228
2,2.75,Glycaspis,ambient,Dec-13,13.89590675,14.37507595
2,22.125,Glycaspis,ambient,Sep-13,111.7988861,119.7845208
2,52.125,Glycaspis,ambient,Jun-13,263.3905961,246.9286839
2,0.875,Glycaspis,ambient,Mar-13,4.421424875,6.029215739
2,14.375,Glycaspis,ambient,Dec-12,72.63769438,77.82610112
2,26.125,Cardiospina,ambient,Dec-14,132.0111141,146.6790157
2,0.875,Cardiospina,ambient,Sep-14,4.421424875,4.573887802
2,3.875,Cardiospina,ambient,Jul-14,19.58059588,27.97227982
2,3.125,Cardiospina,ambient,Jun-14,15.79080313,13.53497411
2,0.25,Cardiospina,ambient,Mar-14,1.26326425,2.368620469
2,1.5,Cardiospina,ambient,Dec-13,7.5795855,7.840950517
2,0.375,Cardiospina,ambient,Sep-13,1.894896375,2.030246116
2,0.75,Cardiospina,ambient,Jun-13,3.78979275,3.552930703
2,0,Cardiospina,ambient,Mar-13,0,0
2,0.75,Cardiospina,ambient,Dec-12,3.78979275,4.060492232
2,1.375,Spondyliaspis,ambient,Dec-14,6.947953375,7.719948194
2,8.375,Spondyliaspis,ambient,Sep-14,42.31935238,43.77864039
2,6.875,Spondyliaspis,ambient,Jul-14,34.73976688,49.62823839
2,8.5,Spondyliaspis,ambient,Jun-14,42.9509845,36.81512957
2,0.75,Spondyliaspis,ambient,Mar-14,3.78979275,7.105861406
2,2,Spondyliaspis,ambient,Dec-13,10.106114,10.45460069
2,7,Spondyliaspis,ambient,Sep-13,35.371399,37.8979275
2,4.875,Spondyliaspis,ambient,Jun-13,24.63365288,23.09404957
2,0.125,Spondyliaspis,ambient,Mar-13,0.631632125,0.861316534
2,0.25,Spondyliaspis,ambient,Dec-12,1.26326425,1.353497411
3,0.625,Glycaspis,ambient,Dec-14,3.158160625,3.509067361
3,1.25,Glycaspis,ambient,Sep-14,6.31632125,6.534125431
3,1.625,Glycaspis,ambient,Jul-14,8.211217625,11.73031089
3,3.625,Glycaspis,ambient,Jun-14,18.31733163,15.70056996
3,588,Glycaspis,ambient,Mar-14,2971.197516,5570.995343
3,6,Glycaspis,ambient,Dec-13,30.318342,31.36380207
3,22.125,Glycaspis,ambient,Sep-13,111.7988861,119.7845208
3,27.625,Glycaspis,ambient,Jun-13,139.5906996,130.8662809
3,1.125,Glycaspis,ambient,Mar-13,5.684689125,7.751848807
3,6.5,Glycaspis,ambient,Dec-12,32.8448705,35.19093268
3,18.625,Cardiospina,ambient,Dec-14,94.11318663,104.5702074
